iter	Passed	Remaining
406	6468	9424
407	6484	9409
408	6500	9393
409	6516	9376
410	6532	9361
411	6548	9345
412	6564	9329
413	6580	9313
414	6595	9297
415	6611	9281
416	6627	9266
417	6643	9250
418	6659	9234
419	6676	9219
420	6693	9205
421	6708	9189
422	6724	9172
423	6740	9157
424	6756	9140
425	6771	9124
426	6787	9108
427	6803	9092
428	6819	9076
429	6835	9060
430	6851	9045
431	6866	9028
432	6882	9012
433	6898	8996
434	6913	8979
435	6929	8963
436	6945	8948
437	6961	8931
438	6976	8915
439	6993	8900
440	7008	8884
441	7024	8868
442	7040	8852
443	7056	8836
444	7071	8820
445	7087	8804
446	7104	8788
447	7120	8773
448	7136	8757
449	7152	8742
450	7169	8727
451	7184	8710
452	7200	8694
453	7216	8678
454	7232	8662
455	7247	8646
456	7264	8631
457	7280	8615
458	7296	8600
459	7312	8584
460	7328	8568
461	7343	8551
462	7359	8535
463	7375	8519
464	7390	8503
465	7406	8487
466	7422	8471
467	7438	8455
468	7454	8439
469	7470	8423
470	7486	8408
471	7502	8393
472	7519	8377
473	7534	8361
474	7550	8345
475	7567	8330
476	7584	8315
477	7599	8299
478	7616	8283
479	7631	8267
480	7647	8251
481	7663	8235
482	7679	8220
483	7695	8204
484	7711	8188
485	7727	8172
486	7743	8156
487	7759	8141
488	7775	8125
489	7791	8109
490	7807	8093
491	7823	8078
492	7839	8061
493	7855	8045
494	7870	8029
495	7887	8014
496	7902	7998
497	7918	7981
498	7934	7966
499	7949	7949
500	7965	7933
501	7981	7917
502	7996	7901
503	8012	7884
504	8027	7868
505	8042	7852
506	8058	7836
507	8074	7820
508	8090	7804
509	8105	7788
510	8121	7772
511	8137	7755
512	8153	7740
513	8169	7724
514	8186	7709
515	8202	7693
516	8218	7677
517	8233	7661
518	8249	7645
519	8265	7629
520	8280	7613
521	8296	7597
522	8312	7581
523	8328	7565
524	8344	7549
525	8359	7533
526	8375	7517
527	8391	7501
528	8407	7485
529	8423	7469
530	8439	7453
531	8454	7437
532	8471	7422
533	8487	7406
534	8504	7391
535	8519	7375
536	8536	7359
537	8552	7343
538	8567	7327
539	8583	7311
540	8599	7295
541	8615	7279
542	8631	7264
543	8647	7248
544	8663	7232
545	8680	7217
546	8695	7201
547	8711	7185
548	8727	7169
549	8743	7153
550	8759	7137
551	8775	7122
552	8791	7106
553	8806	7089
554	8822	7073
555	8837	7057
556	8853	7041
557	8869	7025
558	8885	7009
559	8901	6994
560	8916	6977
561	8932	6961
562	8948	6945
563	8964	6929
564	8979	6913
565	8995	6897
566	9011	6881
567	9027	6865
568	9042	6849
569	9058	6833
570	9074	6818
571	9090	6801
572	9106	6786
573	9122	6770
574	9139	6754
575	9154	6739
576	9171	6723
577	9186	6707
578	9202	6691
579	9218	6675
580	9233	6659
581	9250	6643
582	9265	6627
583	9281	6611
584	9297	6595
585	9313	6579
586	9328	6563
587	9344	6547
588	9360	6531
589	9377	6516
590	9392	6500
591	9408	6484
592	9424	6468
593	9439	6452
594	9455	6436
595	9471	6420
596	9486	6403
597	9502	6387
598	9518	6371
599	9534	6356
600	9550	6340
601	9566	6324
602	9581	6308
603	9597	6292
604	9613	6276
605	9628	6260
606	9644	6244
607	9660	6228
608	9680	6215
609	9696	6199
610	9711	6183
611	9727	6167
612	9743	6151
613	9758	6134
614	9774	6119
615	9790	6103
616	9806	6087
617	9821	6071
618	9837	6054
619	9853	6039
620	9868	6022
621	9884	6006
622	9899	5990
623	9916	5975
624	9932	5959
625	9948	5943
626	9963	5927
627	9979	5911
628	9995	5895
629	10010	5879
630	10026	5863
631	10042	5847
632	10057	5831
633	10074	5815
634	10089	5799
635	10105	5783
636	10121	5767
637	10137	5751
638	10153	5736
639	10169	5720
640	10185	5704
641	10201	5688
642	10217	5672
643	10233	5656
644	10249	5640
645	10265	5625
646	10281	5609
647	10297	5593
648	10312	5577
649	10328	5561
650	10344	5545
651	10360	5529
652	10376	5513
653	10391	5497
654	10407	5481
655	10424	5466
656	10440	5450
657	10457	5435
658	10473	5419
659	10489	5403
660	10505	5387
661	10521	5372
662	10537	5356
663	10553	5340
664	10569	5324
665	10585	5308
666	10600	5292
667	10616	5276
668	10632	5260
669	10648	5244
670	10663	5228
671	10680	5212
672	10696	5197
673	10712	5181
674	10728	5165
675	10744	5149
676	10760	5133
677	10776	5117
678	10791	5101
679	10807	5085
680	10823	5069
681	10839	5054
682	10855	5038
683	10874	5023
684	10891	5008
685	10908	4993
686	10924	4977
687	10940	4961
688	10956	4945
689	10972	4929
690	10988	4913
691	11004	4897
692	11021	4882
