iter	RMSE
0	273.8921677
1	270.682702
2	267.5938101
3	264.7043592
4	261.9503039
5	259.1581396
6	256.1181724
7	253.5807343
8	251.1820678
9	248.8963114
10	246.7414974
11	242.8274858
12	240.5454401
13	237.5696793
14	235.4235673
15	231.4496751
16	229.4193005
17	227.34169
18	223.552792
19	219.920752
20	217.8786136
21	217.4494876
22	213.9159494
23	212.1778406
24	210.4945435
25	208.5310666
26	206.9390371
27	205.0575034
28	202.1347531
29	200.4790532
30	199.7187176
31	198.3290197
32	197.0394964
33	195.1289279
34	194.5981217
35	193.7855399
36	193.0125206
37	192.8152361
38	192.5123618
39	191.0084063
40	189.3892987
41	187.945555
42	187.8550404
43	184.7786153
44	183.1840284
45	182.2701948
46	179.3000894
47	179.2179017
48	179.1397919
49	177.5878102
50	177.5296757
51	177.4576904
52	177.3888316
53	177.3239601
54	174.4364083
55	173.1486007
56	170.7306618
57	169.1834248
58	169.1195738
59	169.0589602
60	169.0013937
61	168.9468493
62	168.2232719
63	167.5247924
64	167.4841166
65	167.4454753
66	164.7733351
67	163.2899002
68	161.8707463
69	161.8213624
70	161.7853035
71	160.4273668
72	160.2922185
73	157.6481899
74	155.0855111
75	155.0493566
76	155.0150115
77	154.9718755
78	154.9408532
79	153.8741662
80	153.835371
81	151.4111958
82	150.2787882
83	149.9192768
84	147.9083467
85	147.8612362
86	146.5071004
87	145.9408953
88	145.9116979
89	145.8752972
90	144.5720154
91	144.5371081
92	142.2253052
93	140.0101256
94	139.9759476
95	138.6903889
96	138.1437615
97	138.1185711
98	135.9411249
99	135.9169063
100	135.8939089
101	135.3645711
102	134.4913301
103	133.2684314
104	131.1759276
105	129.9860538
106	129.2613644
107	128.1569781
108	128.1338506
109	126.2214413
110	126.1986118
111	125.7589111
112	125.7376661
113	125.7110841
114	124.6557614
115	124.6288605
116	124.5465927
117	124.5282517
118	122.4927492
119	122.4749691
120	121.4453827
121	120.4590924
122	119.5156411
123	117.5045981
124	117.0548251
125	115.1320283
126	113.2857531
127	111.4967473
128	111.1091807
129	109.3789117
130	108.4131332
131	106.7311353
132	105.1102026
133	104.1566891
134	102.5804029
135	101.0621709
136	100.1199492
137	99.76933742
138	98.28797607
139	97.38942229
140	96.52520867
141	95.07159102
142	93.67128579
143	92.32229532
144	91.99089626
145	91.67568773
146	90.83274823
147	89.512302
148	88.24040034
149	87.01603514
150	86.17549411
151	84.98519849
152	84.16805573
153	83.01129446
154	82.21702629
155	81.09276468
156	81.0665874
157	80.29421332
158	79.20133751
159	79.16655231
160	78.41561026
161	78.38422541
162	77.32137342
163	76.58710947
164	76.5633368
165	75.53025147
166	74.81680624
167	73.95161124
168	73.91906129
169	73.88814725
170	73.47261853
171	72.77950581
172	72.75801792
173	71.78974174
174	71.11273952
175	70.45767037
176	69.65240551
177	69.62282543
178	69.59476623
179	68.67395446
180	67.78822047
181	67.14469997
182	67.07712443
183	67.05706935
184	66.44099004
185	66.4143764
186	65.6919323
187	65.66637403
188	64.82267941
189	64.20849406
190	64.18366949
191	63.84056488
192	63.03314036
193	62.44157336
194	62.41770304
195	61.6336742
196	61.05910756
197	60.43541795
198	59.87064826
199	59.85313793
200	59.54375546
201	59.52113758
202	58.78645526
203	58.24288098
204	57.76954837
205	57.74740798
206	57.20136242
207	57.18013305
208	57.16510007
209	57.05146999
210	57.03224088
211	56.79905987
212	56.78072666
213	56.76331546
214	56.25563405
215	55.55752273
216	54.88668478
217	54.38787726
218	53.96811316
219	53.95070819
220	53.67388867
221	53.18894161
222	52.78198102
223	52.74839847
224	52.73566588
225	52.26593513
226	52.25373443
227	52.22236776
228	52.18885035
229	51.72665051
230	51.71092728
231	51.31265026
232	51.30192031
233	51.29173261
234	50.8528699
235	50.4328232
236	50.36278609
237	49.73502525
238	49.33081694
239	48.72248892
240	48.33075638
241	47.96419384
242	47.58622186
243	47.55584264
244	47.54537902
245	47.18361594
246	47.17203206
247	46.81634259
248	46.4673186
249	46.13355967
250	46.1083216
251	46.04439705
252	46.03447952
253	46.02506276
254	45.44093289
255	45.11893357
256	45.10980889
257	44.77383072
258	44.46332015
259	44.03126049
260	43.7314557
261	43.44493019
262	43.3424536
263	43.33095502
264	43.3103687
265	42.99380938
266	42.72177984
267	42.17759484
268	41.88482183
269	41.87587095
270	41.59218683
271	41.5456037
272	41.52292217
273	41.26868535
274	41.26051067
275	40.97402085
276	40.96614877
277	40.5932323
278	40.32987853
279	40.32024481
280	40.05562197
281	39.79885811
282	39.54494498
283	39.53761126
284	39.29426652
285	39.27579659
286	39.26908999
287	39.2552868
288	39.23736594
289	38.73012659
290	38.48332325
291	38.24855741
292	38.23900838
293	37.7488637
294	37.52223521
295	37.30661471
296	37.07869208
297	37.07222467
298	36.60603451
299	36.39650293
300	36.30955996
301	35.8648683
302	35.66189298
303	35.4687498
304	35.46226626
305	35.03187174
306	34.84530096
307	34.8389694
308	34.43613693
309	34.25642152
310	33.85524165
311	33.68169161
312	33.58044819
313	33.56967031
314	33.55188969
315	33.54270314
316	33.53418111
317	33.52543856
318	33.15036295
319	33.0742532
320	32.89077116
321	32.82529563
322	32.81710837
323	32.80949168
324	32.56863645
325	32.56071734
326	32.50464369
327	32.25148781
328	32.12572305
329	31.95748555
330	31.78342061
331	31.77595266
332	31.76898908
333	31.60116142
334	31.59461787
335	31.37933903
336	31.37315288
337	31.35776706
338	31.34833688
339	31.19620025
340	30.95004592
341	30.88464158
342	30.87868678
343	30.87309862
344	30.78734588
345	30.77962731
346	30.7550932
347	30.48990355
348	30.31436932
349	30.30895558
350	30.30447173
351	30.12543726
352	29.97048542
353	29.96533694
354	29.95762358
355	29.93377329
356	29.78952355
357	29.65261793
358	29.51978957
359	29.31769848
360	29.28841955
361	29.2840287
362	29.2787736
363	29.27383173
364	29.20923578
365	29.20467498
366	29.03295595
367	29.02861083
368	29.02445398
369	28.99382338
370	28.98769908
371	28.98360201
372	28.74691743
373	28.74301401
374	28.73932402
375	28.71498957
376	28.71148191
377	28.70815974
378	28.70203743
379	28.6985646
380	28.6954138
381	28.68633499
382	28.68100832
383	28.67801603
384	28.5523356
385	28.43138364
386	28.42852012
387	28.31428696
388	28.31128977
389	28.30639678
390	28.20148681
391	28.19874267
392	28.17600505
393	28.1734023
394	28.16890885
395	28.16643902
396	28.16190825
397	28.15954983
398	28.06444117
399	28.0621852
400	27.99097058
401	27.98706059
402	27.91467774
403	27.8715839
404	27.77899984
405	27.75449016
406	27.71271834
407	27.60209965
408	27.51683579
409	27.40421471
410	27.38816132
411	27.14818876
412	27.04430569
413	26.95625778
414	26.86057949
415	26.7065233
416	26.6988849
417	26.6095526
418	26.55760883
419	26.53067587
420	26.49269858
421	26.4859326
422	26.48226443
423	26.47905536
424	26.29872336
425	26.23109176
426	26.16875544
427	26.16567983
428	26.06444761
429	25.99739782
430	25.94064255
431	25.93280602
432	25.92991223
433	25.92722418
434	25.88790178
435	25.82539822
436	25.71000657
437	25.65283095
438	25.59832227
439	25.58459476
440	25.50619149
441	25.46356694
442	25.42176892
443	25.32908105
444	25.282563
445	25.23570711
446	25.18020162
447	25.03843007
448	25.00316932
449	24.93009348
450	24.7846973
451	24.74955559
452	24.71290059
453	24.70613872
454	24.52261666
455	24.42441522
456	24.4036977
457	24.40112662
458	24.39871095
459	24.3964195
460	24.394263
461	24.39223095
462	24.3830682
463	24.35522859
464	24.32079715
465	24.28080215
466	24.26400974
467	24.22695775
468	24.22506129
469	24.20774097
470	24.17302688
471	24.15855295
472	24.14575335
473	23.94208775
474	23.86514546
475	23.86071489
476	23.85886599
477	23.85062757
478	23.77422418
479	23.7288139
480	23.66144349
481	23.65966049
482	23.57708389
483	23.27706999
484	23.27536023
485	23.23551314
486	23.21375488
487	23.17348922
488	23.11157413
489	23.09951884
490	23.086847
491	22.92337081
492	22.91596112
493	22.88192189
494	22.87490998
495	22.86827626
496	22.79294847
497	22.78671266
498	22.77369363
499	22.71757588
500	22.7116545
501	22.62362249
502	22.5532372
503	22.54732441
504	22.54172785
505	22.51467131
506	22.5093818
507	22.40842246
508	22.35776238
509	22.35222562
510	22.34699817
511	22.34176807
512	22.3368435
513	22.33213384
514	22.28459903
515	22.28013842
516	22.23512745
517	22.1890644
518	22.18134724
519	22.0843934
520	22.0796836
521	22.07532146
522	22.07086956
523	22.06665286
524	22.02794818
525	22.023962
526	22.02018597
527	21.96297546
528	21.92354869
529	21.91281768
530	21.8822591
531	21.87866774
532	21.8541332
533	21.79931823
534	21.73903836
535	21.67937452
536	21.59765182
537	21.55995767
538	21.55598098
539	21.55222178
540	21.51382541
541	21.45205353
542	21.4322322
543	21.42856917
544	21.42500042
545	21.37411773
546	21.370732
547	21.36185465
548	21.23433913
549	21.20169995
550	21.16063329
551	21.13318396
552	21.11565308
553	21.0766552
554	21.00836182
555	21.00523143
556	20.97356589
557	20.95240834
558	20.95035485
559	20.91700427
560	20.87516801
561	20.86626882
562	20.81838844
563	20.77615859
564	20.76547324
565	20.76178764
566	20.75395773
567	20.57241557
568	20.54844682
569	20.46747367
570	20.45201868
571	20.36695296
572	20.32923602
573	20.30653168
574	20.27541406
575	20.25611743
576	20.22042431
577	20.18264882
578	20.11495196
579	20.11229522
580	20.08489772
581	20.06713881
582	20.06461815
583	20.06028654
584	20.0476145
585	20.03615153
586	20.03254764
587	19.8573764
588	19.8323402
589	19.79920717
590	19.77028659
591	19.74175032
592	19.7105686
593	19.70711773
594	19.7038815
595	19.69497123
596	19.68443152
597	19.67484168
598	19.66608752
599	19.65807141
600	19.65102516
601	19.64480727
602	19.62022289
603	19.60606257
604	19.60303549
605	19.57769282
606	19.57681826
607	19.55524931
608	19.53468062
609	19.50652236
610	19.48652871
611	19.48047985
612	19.44789077
613	19.28249981
614	19.2765355
615	19.27103799
616	19.270257
617	19.26952115
618	19.24586202
619	19.23443788
620	19.05633099
621	19.0217883
622	19.01884625
623	19.01815944
624	18.87184089
625	18.8375371
626	18.81304478
627	18.8100515
628	18.80939732
629	18.80458639
630	18.79993279
631	18.79933643
632	18.78739658
633	18.75322712
634	18.71952357
635	18.68839096
636	18.54893798
637	18.41596145
638	18.28915806
639	18.16824173
640	18.05294193
641	17.94300238
642	17.83817977
643	17.73824278
644	17.62591915
645	17.51920476
646	17.43244587
647	17.33500867
648	17.24241564
649	17.16717279
650	17.0826326
651	17.00228538
652	16.93709519
653	16.86374185
654	16.83925228
655	16.76942926
656	16.70953331
657	16.68638535
658	16.66462363
659	16.60094857
660	16.48066459
661	16.42847656
662	16.4077165
663	16.30400968
664	16.28545277
665	16.2287507
666	16.21120784
667	16.1023933
668	16.02518555
669	15.99222184
670	15.97628592
671	15.92557403
672	15.89584529
673	15.84748287
674	15.7690017
675	15.69630741
676	15.62932872
677	15.59323894
678	15.56525747
679	15.56288876
680	15.54678759
681	15.54547762
682	15.54428998
683	15.48110074
684	15.46244556
685	15.43053566
686	15.4225488
687	15.35779332
688	15.35436193
689	15.33022395
690	15.3290837
691	15.29229278
692	15.25958436
693	15.24769552
694	15.24226373
695	15.21929553
696	15.20028958
697	15.17194818
698	15.14582517
699	15.13939192
700	15.12541642
701	15.11430637
702	15.10474248
703	15.0733344
704	15.03387878
705	15.02468475
706	14.96928474
707	14.9432921
708	14.94166566
709	14.9265259
710	14.90174952
711	14.88889032
712	14.86390973
713	14.84082395
714	14.75323777
715	14.72361163
716	14.67681139
717	14.66680392
718	14.65737217
719	14.61841729
720	14.59174559
721	14.58748415
722	14.58073725
723	14.52174244
724	14.49958822
725	14.49573706
726	14.48799519
727	14.46440144
728	14.45945537
729	14.43172829
730	14.43032045
731	14.42854276
732	14.41452924
733	14.36033977
734	14.31986356
735	14.26784082
736	14.22197499
737	14.2023711
738	14.18301299
739	14.16748632
740	14.138062
741	14.12368354
742	14.0809273
743	14.07506918
744	14.05309472
745	14.05068734
746	14.04010285
747	14.0150701
748	13.99274396
749	13.98272788
750	13.97805126
751	13.96923004
752	13.96509592
753	13.94028712
754	13.92074933
755	13.88416859
756	13.87028603
757	13.83530072
758	13.82368122
759	13.80469928
760	13.80109784
761	13.79190897
762	13.77629512
763	13.76776523
764	13.75590183
765	13.71571013
766	13.71131131
767	13.7091764
768	13.70761202
769	13.70085811
770	13.67828534
771	13.66880143
772	13.6644791
773	13.66348431
774	13.65124497
775	13.64081077
776	13.62035829
777	13.61401588
778	13.60052065
779	13.59346725
780	13.58368193
781	13.57211766
782	13.52836108
783	13.52489671
784	13.51408798
785	13.48753584
786	13.47886025
787	13.47294606
788	13.45476189
789	13.41637338
790	13.41263074
791	13.39540357
792	13.38762339
793	13.37026699
794	13.36740966
795	13.34961239
796	13.33671352
797	13.31828551
798	13.3147954
799	13.27831625
800	13.27146216
801	13.26334864
802	13.25590086
803	13.24396577
804	13.24211113
805	13.24027819
806	13.23535074
807	13.2297008
808	13.22750766
809	13.22145215
810	13.21500157
811	13.20767322
812	13.19915258
813	13.19655101
814	13.18087429
815	13.15823311
816	13.15316151
817	13.13488857
818	13.12523267
819	13.12294422
820	13.11098004
821	13.09913439
822	13.09819541
823	13.09137807
824	13.09058284
825	13.08158527
826	13.07500757
827	13.07048384
828	13.0683271
829	13.06269791
830	13.04668075
831	13.03838455
832	13.03386981
833	13.0259674
834	12.98708729
835	12.98108065
836	12.96795352
837	12.96716179
838	12.96409542
839	12.95100734
840	12.94291121
841	12.91955808
842	12.91813791
843	12.9173897
844	12.91669425
845	12.90977236
846	12.89417716
847	12.88920632
848	12.88034322
849	12.86191971
850	12.85237828
851	12.85015068
852	12.83313098
853	12.82857981
854	12.81910307
855	12.81649444
856	12.81584834
857	12.80977724
858	12.79392844
859	12.79157534
860	12.77558892
861	12.77312978
862	12.76328829
863	12.7459436
864	12.7434439
865	12.72381313
866	12.72314164
867	12.71241011
868	12.70269446
869	12.68353476
870	12.6730226
871	12.66019025
872	12.6435438
873	12.62779611
874	12.61602938
875	12.59532842
876	12.59325778
877	12.57620628
878	12.57493517
879	12.57389606
880	12.57328793
881	12.57088972
882	12.5606603
883	12.55680501
884	12.54718062
885	12.53965697
886	12.52458772
887	12.51901041
888	12.51709415
889	12.50532763
890	12.4855585
891	12.48498856
892	12.47944759
893	12.47722084
894	12.45301606
895	12.44416636
896	12.43098984
897	12.4293548
898	12.41194161
899	12.36741099
900	12.35956377
901	12.34700643
902	12.32510374
903	12.31979132
904	12.31624712
905	12.3083908
906	12.29149414
907	12.28831839
908	12.28509499
909	12.27409418
910	12.27031996
911	12.26541137
912	12.26106312
913	12.25337289
914	12.23899506
915	12.22809772
916	12.2171856
917	12.21585306
918	12.20143872
919	12.19525116
920	12.18584598
921	12.16987767
922	12.15707624
923	12.13741949
924	12.12175492
925	12.10802698
926	12.10601492
927	12.10331167
928	12.0922469
929	12.08092862
930	12.08038333
931	12.08004143
932	12.07972956
933	12.06116019
934	12.04355528
935	12.04342925
936	12.04101974
937	12.03643617
938	12.02416283
939	12.01561402
940	11.99540384
941	11.98616799
942	11.98229176
943	11.98002773
944	11.94060188
945	11.9332843
946	11.92864679
947	11.92618477
948	11.92293832
949	11.91833733
950	11.9071508
951	11.90537279
952	11.89776027
953	11.89466767
954	11.89322404
955	11.89274379
956	11.89023536
957	11.88815362
958	11.84396903
959	11.80384082
960	11.80264234
961	11.76613062
962	11.76208541
963	11.73150083
964	11.70770322
965	11.70684728
966	11.69512189
967	11.68729606
968	11.66745131
969	11.65626252
970	11.65573707
971	11.62810749
972	11.6199396
973	11.61114614
974	11.61036774
975	11.6088271
976	11.60181519
977	11.59885122
978	11.59806695
979	11.59764729
980	11.59695853
981	11.5967071
982	11.59633623
983	11.59332017
984	11.59274307
985	11.58188337
986	11.57865882
987	11.57424149
988	11.57036661
989	11.55092446
990	11.54746968
991	11.5414438
992	11.53785761
993	11.5323278
994	11.5316379
995	11.526765
996	11.50983668
997	11.49659522
998	11.49231732
999	11.49196731
